source,periodType,date,instrument,period,price
GFI,MTD,2026-05-14,TD22,2026-05-01,17030098.78
GFI,MTD,2026-05-14,TD19,2026-05-01,239.93
GFI,M,2026-05-14,TD3C,2026-05-01,447.50
GFI,M,2026-05-14,TD20,2026-05-01,15.59
GFI,M,2026-05-14,TD7,2026-05-01,200.00
GFI,M,2026-05-14,TD8,2026-05-01,400.00
GFI,M,2026-05-14,TD25,2026-05-01,145.55
GFI,M,2026-05-14,TD22,2026-05-01,17.00
GFI,M,2026-05-14,TD19,2026-05-01,225.00
GFI,M,2026-05-14,TD3C,2026-06-01,410.00
GFI,M,2026-05-14,TD20,2026-06-01,15.19
GFI,M,2026-05-14,TD7,2026-06-01,190.00
GFI,M,2026-05-14,TD8,2026-06-01,300.00
GFI,M,2026-05-14,TD25,2026-06-01,145.55
GFI,M,2026-05-14,TD22,2026-06-01,15.50
GFI,M,2026-05-14,TD19,2026-06-01,190.00
GFI,M,2026-05-14,TD3C,2026-07-01,342.00
GFI,M,2026-05-14,TD20,2026-07-01,13.40
GFI,M,2026-05-14,TD7,2026-07-01,165.00
GFI,M,2026-05-14,TD8,2026-07-01,202.00
GFI,M,2026-05-14,TD25,2026-07-01,123.86
GFI,M,2026-05-14,TD22,2026-07-01,13.50
GFI,M,2026-05-14,TD19,2026-07-01,150.00
GFI,M,2026-05-14,TD3C,2026-08-01,258.00
GFI,M,2026-05-14,TD20,2026-08-01,13.40
GFI,M,2026-05-14,TD7,2026-08-01,160.00
GFI,M,2026-05-14,TD8,2026-08-01,177.00
GFI,M,2026-05-14,TD25,2026-08-01,123.86
GFI,M,2026-05-14,TD22,2026-08-01,12.75
GFI,M,2026-05-14,TD19,2026-08-01,135.00
GFI,M,2026-05-14,TD3C,2026-09-01,198.00
GFI,M,2026-05-14,TD20,2026-09-01,
GFI,M,2026-05-14,TD7,2026-09-01,155.00
GFI,M,2026-05-14,TD8,2026-09-01,177.00
GFI,M,2026-05-14,TD25,2026-09-01,
GFI,M,2026-05-14,TD22,2026-09-01,12.00
GFI,M,2026-05-14,TD19,2026-09-01,135.00
GFI,Q,2026-05-14,TD3C,2026-07-01,266.00
GFI,Q,2026-05-14,TD20,2026-07-01,13.40
GFI,Q,2026-05-14,TD7,2026-07-01,160.00
GFI,Q,2026-05-14,TD8,2026-07-01,185.33
GFI,Q,2026-05-14,TD25,2026-07-01,123.86
GFI,Q,2026-05-14,TD22,2026-07-01,12.75
GFI,Q,2026-05-14,TD19,2026-07-01,140.00
GFI,Q,2026-05-14,TD3C,2026-10-01,207.00
GFI,Q,2026-05-14,TD20,2026-10-01,14.50
GFI,Q,2026-05-14,TD7,2026-10-01,170.00
GFI,Q,2026-05-14,TD8,2026-10-01,198.33
GFI,Q,2026-05-14,TD25,2026-10-01,137.37
GFI,Q,2026-05-14,TD22,2026-10-01,13.50
GFI,Q,2026-05-14,TD19,2026-10-01,143.33
